-----------New Capture Session with VID(1) PCP(2) Port (2)-------------
TS UTC (s),TS (ns),Sequence Number,Full FIFO Flag
1761926420,898984000,0,0
1761926420,898984848,1,0
1761926420,898985696,2,0
1761926420,898986544,3,0
1761926420,898987392,4,0
1761926420,898988240,5,0
1761926420,898989088,6,0
1761926420,898989936,7,0
1761926420,898990784,8,0
1761926420,898991632,9,0
1761926420,898992480,10,0
1761926420,898993328,11,0
1761926420,898994176,12,0
1761926420,898995024,13,0
1761926420,898995872,14,0
1761926420,898996720,15,0
1761926420,898997568,16,0
1761926420,898998416,17,0
1761926420,898999264,18,0
1761926420,899000112,19,0
1761926420,899000960,20,0
1761926420,899001808,21,0
1761926420,899002656,22,0
1761926420,899003504,23,0
1761926420,899004352,24,0
1761926420,899005200,25,0
1761926420,899006048,26,0
1761926420,928978064,27,0
1761926420,928978912,28,0
1761926420,928979760,29,0
1761926420,928980608,30,0
1761926420,928981456,31,0
1761926420,928982304,32,0
1761926420,928983152,33,0
1761926420,928984000,34,0
1761926420,928984848,35,0
1761926420,928985696,36,0
1761926420,928986544,37,0
1761926420,928987392,38,0
1761926420,928988240,39,0
1761926420,928989088,40,0
1761926420,928989936,41,0
1761926420,928990784,42,0
1761926420,928991632,43,0
1761926420,928992480,44,0
1761926420,928993328,45,0
1761926420,928994176,46,0
1761926420,928995024,47,0
1761926420,928995872,48,0
1761926420,928996720,49,0
1761926420,928997568,50,0
1761926420,928998416,51,0
1761926420,928999264,52,0
1761926420,929000112,53,0
1761926420,929000960,54,0
1761926420,929001808,55,0
1761926420,929002656,56,0
1761926420,958972128,57,1
1761926420,958972976,58,1
1761926420,958973824,59,1
1761926420,958974672,60,1
1761926420,958975520,70,1
1761926420,958976368,71,1
1761926420,958977216,72,1
1761926420,958978064,73,1
1761926420,958978912,74,1
1761926420,958979760,75,1
1761926420,958980608,76,1
1761926420,958981456,77,1
1761926420,958982304,78,1
1761926420,958983152,79,1
1761926420,958984000,80,1
1761926420,958984848,81,1
1761926420,958985696,82,1
1761926420,958986544,83,1
1761926420,958987392,84,1
1761926420,958988240,85,1
1761926420,958989088,86,1
1761926420,958989936,87,1
1761926420,958990784,88,1
1761926420,958991632,89,1
1761926420,958992480,90,1
1761926420,958993328,91,1
1761926420,958994176,92,1
1761926420,958995024,93,1
1761926420,958995872,94,1
1761926420,958996720,95,1
1761926420,988966192,96,1
1761926420,988967040,97,1
1761926420,988967888,98,1
1761926420,988968736,99,1
1761926420,988969584,113,1
1761926420,988970432,114,1
1761926420,988971280,115,1
1761926420,988972128,116,1
1761926420,988972976,117,1
1761926420,988973824,118,1
1761926420,988974672,119,1
1761926420,988975520,120,1
1761926420,988976368,121,1
1761926420,988977216,122,1
1761926420,988978064,123,1
1761926420,988978912,124,1
1761926420,988979760,125,1
1761926420,988980608,126,1
1761926420,988981456,127,1
1761926420,988982304,128,1
1761926420,988983152,129,1
1761926420,988984000,130,1
1761926420,988984848,131,1
1761926420,988985696,132,1
1761926420,988986544,133,1
1761926420,988987392,134,1
1761926420,988988240,135,1
1761926420,988989088,136,1
1761926420,988989936,137,1
1761926420,988990784,138,1
1761926421,18960256,139,1
1761926421,18961104,140,1
1761926421,18961952,141,1
1761926421,18962800,142,1
1761926421,18963648,156,1
1761926421,18964496,157,1
1761926421,18965344,158,1
1761926421,18966192,159,1
1761926421,18967040,160,1
1761926421,18967888,161,1
1761926421,18968736,162,1
1761926421,18969584,163,1
1761926421,18970432,164,1
1761926421,18971280,165,1
1761926421,18972128,166,1
1761926421,18972976,167,1
1761926421,18973824,168,1
1761926421,18974672,169,1
1761926421,18975520,170,1
1761926421,18976368,171,1
1761926421,18977216,172,1
1761926421,18978064,173,1
1761926421,18978912,174,1
1761926421,18979760,175,1
1761926421,18980608,176,1
1761926421,18981456,177,1
1761926421,18982304,178,1
1761926421,18983152,179,1
1761926421,18984000,180,1
1761926421,18984848,181,1
1761926421,48954320,182,1
1761926421,48955168,183,1
1761926421,48956016,184,1
1761926421,48956864,185,1
1761926421,48957712,199,1
1761926421,48958560,200,1
1761926421,48959408,201,1
1761926421,48960256,202,1
1761926421,48961104,203,1
1761926421,48961952,204,1
1761926421,48962800,205,1
1761926421,48963648,206,1
1761926421,48964496,207,1
1761926421,48965344,208,1
1761926421,48966192,209,1
1761926421,48967040,210,1
1761926421,48967888,211,1
1761926421,48968736,212,1
1761926421,48969584,213,1
1761926421,48970432,214,1
1761926421,48971280,215,1
1761926421,48972128,216,1
1761926421,48972976,217,1
1761926421,48973824,218,1
1761926421,48974672,219,1
1761926421,48975520,220,1
1761926421,48976368,221,1
1761926421,48977216,222,1
1761926421,48978064,223,1
1761926421,48978912,224,1
1761926421,78948384,225,1
1761926421,78949232,226,1
1761926421,78950080,227,1
1761926421,78950928,228,1
1761926421,78951776,242,1
1761926421,78952624,243,1
1761926421,78953472,244,1
1761926421,78954320,245,1
1761926421,78955168,246,1
1761926421,78956016,247,1
1761926421,78956864,248,1
1761926421,78957712,249,1
1761926421,78958560,250,1
1761926421,78959408,251,1
1761926421,78960256,252,1
1761926421,78961104,253,1
1761926421,78961952,254,1
1761926421,78962800,255,1
1761926421,78963648,256,1
1761926421,78964496,257,1
1761926421,78965344,258,1
1761926421,78966192,259,1
1761926421,78967040,260,1
1761926421,78967888,261,1
1761926421,78968736,262,1
1761926421,78969584,263,1
1761926421,78970432,264,1
1761926421,78971280,265,1
1761926421,78972128,266,1
1761926421,78972976,267,1
1761926421,108942448,268,1
1761926421,108943296,269,1
1761926421,108944144,270,1
1761926421,108944992,271,1
1761926421,108945840,284,1
1761926421,108946688,285,1
1761926421,108947536,286,1
1761926421,108948384,287,1
1761926421,108949232,288,1
1761926421,108950080,289,1
1761926421,108950928,290,1
1761926421,108951776,291,1
1761926421,108952624,292,1
1761926421,108953472,293,1
1761926421,108954320,294,1
1761926421,108955168,295,1
1761926421,108956016,296,1
1761926421,108956864,297,1
1761926421,108957712,298,1
1761926421,438877152,739,1
1761926421,438878000,740,1
1761926421,438878848,741,1
1761926421,438879696,742,1
1761926421,438880544,756,1
1761926421,438881392,757,1
1761926421,438882240,758,1
1761926421,438883088,759,1
1761926421,438883936,760,1
1761926421,438884784,761,1
1761926421,438885632,762,1
1761926421,438886480,763,1
1761926421,438887328,764,1
1761926421,438888176,765,1
1761926421,438889024,766,1
1761926421,438889872,767,1
1761926421,438890720,768,1
1761926421,438891568,769,1
1761926421,438892416,770,1
1761926421,438893264,771,1
1761926421,438894112,772,1
1761926421,438894960,773,1
1761926421,438895808,774,1
1761926421,438896656,775,1
1761926421,438897504,776,1
1761926421,438898352,777,1
1761926421,438899200,778,1
1761926421,438900048,779,1
1761926421,438900896,780,1
1761926421,438901744,781,1
1761926421,468871216,782,1
1761926421,468872064,783,1
1761926421,468872912,784,1
1761926421,468873760,785,1
1761926421,468874608,799,1
1761926421,468875456,800,1
1761926421,468876304,801,1
1761926421,468877152,802,1
1761926421,468878000,803,1
1761926421,468878848,804,1
1761926421,468879696,805,1
1761926421,468880544,806,1
1761926421,468881392,807,1
1761926421,468882240,808,1
1761926421,468883088,809,1
1761926421,468883936,810,1
1761926421,468884784,811,1
1761926421,468885632,812,1
1761926421,468886480,813,1
1761926421,468887328,814,1
1761926421,468888176,815,1
1761926421,468889024,816,1
1761926421,468889872,817,1
1761926421,468890720,818,1
1761926421,468891568,819,1
1761926421,468892416,820,1
1761926421,468893264,821,1
1761926421,468894112,822,1
1761926421,468894960,823,1
1761926421,468895808,824,1
1761926421,498865280,825,1
1761926421,498866128,826,1
1761926421,498866976,827,1
1761926421,498867824,828,1
1761926421,498868672,841,1
1761926421,498869520,842,1
1761926421,498870368,843,1
1761926421,498871216,844,1
1761926421,498872064,845,1
1761926421,498872912,846,1
1761926421,498873760,847,1
1761926421,498874608,848,1
1761926421,498875456,849,1
1761926421,498876304,850,1
1761926421,498877152,851,1
1761926421,498878000,852,1
1761926421,498878848,853,1
1761926421,498879696,854,1
1761926421,498880544,855,1
1761926421,498881392,856,1
1761926421,498882240,857,1
1761926421,498883088,858,1
1761926421,498883936,859,1
1761926421,498884784,860,1
1761926421,498885632,861,1
1761926421,498886480,862,1
1761926421,498887328,863,1
1761926421,498888176,864,1
1761926421,498889024,865,1
1761926421,498889872,866,1
1761926421,528859344,867,1
1761926421,528860192,868,1
1761926421,528861040,869,1
1761926421,528861888,870,1
1761926421,528862736,884,1
1761926421,528863584,885,1
1761926421,528864432,886,1
1761926421,528865280,887,1
1761926421,528866128,888,1
1761926421,528866976,889,1
1761926421,528867824,890,1
1761926421,528868672,891,1
1761926421,528869520,892,1
1761926421,528870368,893,1
1761926421,528871216,894,1
1761926421,528872064,895,1
1761926421,528872912,896,1
1761926421,528873760,897,1
1761926421,528874608,898,1
1761926421,528875456,899,1
1761926421,528876304,900,1
1761926421,528877152,901,1
1761926421,528878000,902,1
1761926421,528878848,903,1
1761926421,528879696,904,1
1761926421,528880544,905,1
1761926421,528881392,906,1
1761926421,528882240,907,1
1761926421,528883088,908,1
1761926421,528883936,909,1
1761926421,558853408,910,1
1761926421,558854256,911,1
1761926421,558855104,912,1
1761926421,558855952,913,1
1761926421,558856800,927,1
1761926421,558857648,928,1
1761926421,558858496,929,1
1761926421,558859344,930,1
1761926421,558860192,931,1
1761926421,558861040,932,1
1761926421,558861888,933,1
1761926421,558862736,934,1
1761926421,558863584,935,1
1761926421,558864432,936,1
1761926421,558865280,937,1
1761926421,558866128,938,1
1761926421,558866976,939,1
1761926421,558867824,940,1
1761926421,558868672,941,1
1761926421,558869520,942,1
1761926421,558870368,943,1
1761926421,558871216,944,1
1761926421,558872064,945,1
1761926421,558872912,946,1
1761926421,558873760,947,1
1761926421,558874608,948,1
1761926421,558875456,949,1
1761926421,558876304,950,1
1761926421,558877152,951,1
1761926421,558878000,952,1
1761926421,588847472,953,1
1761926421,588848320,954,1
1761926421,588849168,955,1
1761926421,588850016,956,1
1761926421,588850864,970,1
1761926421,588851712,971,1
1761926421,588852560,972,1
1761926421,588853408,973,1
1761926421,588854256,974,1
1761926421,588855104,975,1
1761926421,588855952,976,1
1761926421,588856800,977,1
1761926421,588857648,978,1
1761926421,588858496,979,1
1761926421,588859344,980,1
1761926421,588860192,981,1
1761926421,588861040,982,1
1761926421,588861888,983,1
1761926421,588862736,984,1
1761926421,948776240,1467,1
1761926421,948777088,1468,1
1761926421,948777936,1469,1
1761926421,948778784,1470,1
1761926421,948779632,1484,1
1761926421,948780480,1485,1
1761926421,948781328,1486,1
1761926421,948782176,1487,1
1761926421,948783024,1488,1
1761926421,948783872,1489,1
1761926421,948784720,1490,1
1761926421,948785568,1491,1
1761926421,948786416,1492,1
1761926421,948787264,1493,1
1761926421,948788112,1494,1
1761926421,948788960,1495,1
1761926421,948789808,1496,1
1761926421,948790656,1497,1
1761926421,948791504,1498,1
1761926421,948792352,1499,1
1761926421,948793200,1500,1
1761926421,948794048,1501,1
1761926421,948794896,1502,1
1761926421,948795744,1503,1
1761926421,948796592,1504,1
1761926421,948797440,1505,1
1761926421,948798288,1506,1
1761926421,948799136,1507,1
1761926421,948799984,1508,1
1761926421,948800832,1509,1
1761926421,978770304,1510,1
1761926421,978771152,1511,1
1761926421,978772000,1512,1
1761926421,978772848,1513,1
1761926421,978773696,1527,1
1761926421,978774544,1528,1
1761926421,978775392,1529,1
1761926421,978776240,1530,1
1761926421,978777088,1531,1
1761926421,978777936,1532,1
1761926421,978778784,1533,1
1761926421,978779632,1534,1
1761926421,978780480,1535,1
1761926421,978781328,1536,1
1761926421,978782176,1537,1
1761926421,978783024,1538,1
1761926421,978783872,1539,1
1761926421,978784720,1540,1
1761926421,978785568,1541,1
1761926421,978786416,1542,1
1761926421,978787264,1543,1
1761926421,978788112,1544,1
1761926421,978788960,1545,1
1761926421,978789808,1546,1
1761926421,978790656,1547,1
1761926421,978791504,1548,1
1761926421,978792352,1549,1
1761926421,978793200,1550,1
1761926421,978794048,1551,1
1761926421,978794896,1552,1
1761926422,8764368,1553,1
1761926422,8765216,1554,1
1761926422,8766064,1555,1
1761926422,8766912,1556,1
1761926422,8767760,1570,1
1761926422,8768608,1571,1
1761926422,8769456,1572,1
1761926422,8770304,1573,1
1761926422,8771152,1574,1
1761926422,8772000,1575,1
1761926422,8772848,1576,1
1761926422,8773696,1577,1
1761926422,8774544,1578,1
1761926422,8775392,1579,1
1761926422,8776240,1580,1
1761926422,8777088,1581,1
1761926422,8777936,1582,1
1761926422,8778784,1583,1
1761926422,8779632,1584,1
1761926422,8780480,1585,1
1761926422,8781328,1586,1
1761926422,8782176,1587,1
1761926422,8783024,1588,1
1761926422,8783872,1589,1
1761926422,8784720,1590,1
1761926422,8785568,1591,1
1761926422,8786416,1592,1
1761926422,8787264,1593,1
1761926422,8788112,1594,1
1761926422,8788960,1595,1
1761926422,38758432,1596,1
1761926422,38759280,1597,1
1761926422,38760128,1598,1
1761926422,38760976,1599,1
1761926422,38761824,1613,1
1761926422,38762672,1614,1
1761926422,38763520,1615,1
1761926422,38764368,1616,1
1761926422,38765216,1617,1
1761926422,38766064,1618,1
1761926422,38766912,1619,1
1761926422,38767760,1620,1
1761926422,38768608,1621,1
1761926422,38769456,1622,1
1761926422,38770304,1623,1
1761926422,38771152,1624,1
1761926422,38772000,1625,1
1761926422,38772848,1626,1
1761926422,38773696,1627,1
1761926422,38774544,1628,1
1761926422,38775392,1629,1
1761926422,38776240,1630,1
1761926422,38777088,1631,1
1761926422,38777936,1632,1
1761926422,38778784,1633,1
1761926422,38779632,1634,1
1761926422,38780480,1635,1
1761926422,38781328,1636,1
1761926422,38782176,1637,1
1761926422,38783024,1638,1
1761926422,68752496,1639,1
1761926422,68753344,1640,1
1761926422,68754192,1641,1
1761926422,68755040,1642,1
1761926422,68755888,1655,1
1761926422,68756736,1656,1
1761926422,68757584,1657,1
1761926422,68758432,1658,1
1761926422,68759280,1659,1
1761926422,68760128,1660,1
1761926422,68760976,1661,1
1761926422,68761824,1662,1
1761926422,68762672,1663,1
1761926422,68763520,1664,1
1761926422,68764368,1665,1
1761926422,68765216,1666,1
1761926422,68766064,1667,1
1761926422,68766912,1668,1
1761926422,68767760,1669,1
1761926422,68768608,1670,1
1761926422,68769456,1671,1
1761926422,68770304,1672,1
1761926422,68771152,1673,1
1761926422,68772000,1674,1
1761926422,68772848,1675,1
1761926422,68773696,1676,1
1761926422,68774544,1677,1
1761926422,68775392,1678,1
1761926422,68776240,1679,1
1761926422,68777088,1680,1
1761926422,98746560,1681,1
1761926422,98747408,1682,1
1761926422,98748256,1683,1
1761926422,98749104,1684,1
1761926422,98749952,1698,1
1761926422,98750800,1699,1
1761926422,98751648,1700,1
1761926422,98752496,1701,1
1761926422,98753344,1702,1
1761926422,98754192,1703,1
1761926422,98755040,1704,1
1761926422,98755888,1705,1
1761926422,98756736,1706,1
1761926422,98757584,1707,1
1761926422,98758432,1708,1
1761926422,98759280,1709,1
1761926422,98760128,1710,1
1761926422,98760976,1711,1
1761926422,98761824,1712,1
1761926422,458675328,2196,1
1761926422,458676176,2197,1
1761926422,458677024,2198,1
1761926422,458677872,2199,1
1761926422,458678720,2213,1
1761926422,458679568,2214,1
1761926422,458680416,2215,1
1761926422,458681264,2216,1
1761926422,458682112,2217,1
1761926422,458682960,2218,1
1761926422,458683808,2219,1
1761926422,458684656,2220,1
1761926422,458685504,2221,1
1761926422,458686352,2222,1
1761926422,458687200,2223,1
1761926422,458688048,2224,1
1761926422,458688896,2225,1
1761926422,458689744,2226,1
1761926422,458690592,2227,1
1761926422,458691440,2228,1
1761926422,458692288,2229,1
1761926422,458693136,2230,1
1761926422,458693984,2231,1
1761926422,458694832,2232,1
1761926422,458695680,2233,1
1761926422,458696528,2234,1
1761926422,458697376,2235,1
1761926422,458698224,2236,1
1761926422,458699072,2237,1
1761926422,458699920,2238,1
1761926422,488669392,2239,1
1761926422,488670240,2240,1
1761926422,488671088,2241,1
1761926422,488671936,2242,1
1761926422,488672784,2255,1
1761926422,488673632,2256,1
1761926422,488674480,2257,1
1761926422,488675328,2258,1
1761926422,488676176,2259,1
1761926422,488677024,2260,1
1761926422,488677872,2261,1
1761926422,488678720,2262,1
1761926422,488679568,2263,1
1761926422,488680416,2264,1
1761926422,488681264,2265,1
1761926422,488682112,2266,1
1761926422,488682960,2267,1
1761926422,488683808,2268,1
1761926422,488684656,2269,1
1761926422,488685504,2270,1
1761926422,488686352,2271,1
1761926422,488687200,2272,1
1761926422,488688048,2273,1
1761926422,488688896,2274,1
1761926422,488689744,2275,1
1761926422,488690592,2276,1
1761926422,488691440,2277,1
1761926422,488692288,2278,1
1761926422,488693136,2279,1
1761926422,488693984,2280,1
1761926422,518663456,2281,1
1761926422,518664304,2282,1
1761926422,518665152,2283,1
1761926422,518666000,2284,1
1761926422,518666848,2298,1
1761926422,518667696,2299,1
1761926422,518668544,2300,1
1761926422,518669392,2301,1
1761926422,518670240,2302,1
1761926422,518671088,2303,1
1761926422,518671936,2304,1
1761926422,518672784,2305,1
1761926422,518673632,2306,1
1761926422,518674480,2307,1
1761926422,518675328,2308,1
1761926422,518676176,2309,1
1761926422,518677024,2310,1
1761926422,518677872,2311,1
1761926422,518678720,2312,1
1761926422,518679568,2313,1
1761926422,518680416,2314,1
1761926422,518681264,2315,1
1761926422,518682112,2316,1
1761926422,518682960,2317,1
1761926422,518683808,2318,1
1761926422,518684656,2319,1
1761926422,518685504,2320,1
1761926422,518686352,2321,1
1761926422,518687200,2322,1
1761926422,518688048,2323,1
1761926422,548657520,2324,1
1761926422,548658368,2325,1
1761926422,548659216,2326,1
1761926422,548660064,2327,1
1761926422,548660912,2341,1
1761926422,548661760,2342,1
1761926422,548662608,2343,1
1761926422,548663456,2344,1
1761926422,548664304,2345,1
1761926422,548665152,2346,1
1761926422,548666000,2347,1
1761926422,548666848,2348,1
1761926422,548667696,2349,1
1761926422,548668544,2350,1
1761926422,548669392,2351,1
1761926422,548670240,2352,1
1761926422,548671088,2353,1
1761926422,548671936,2354,1
1761926422,548672784,2355,1
1761926422,548673632,2356,1
1761926422,548674480,2357,1
1761926422,548675328,2358,1
1761926422,548676176,2359,1
1761926422,548677024,2360,1
1761926422,548677872,2361,1
1761926422,548678720,2362,1
1761926422,548679568,2363,1
1761926422,548680416,2364,1
1761926422,548681264,2365,1
1761926422,548682112,2366,1
1761926422,578651584,2367,1
1761926422,578652432,2368,1
1761926422,578653280,2369,1
1761926422,578654128,2370,1
1761926422,578654976,2384,1
1761926422,578655824,2385,1
1761926422,578656672,2386,1
1761926422,578657520,2387,1
1761926422,578658368,2388,1
1761926422,578659216,2389,1
1761926422,578660064,2390,1
1761926422,578660912,2391,1
1761926422,578661760,2392,1
1761926422,578662608,2393,1
1761926422,578663456,2394,1
1761926422,578664304,2395,1
1761926422,578665152,2396,1
1761926422,578666000,2397,1
1761926422,578666848,2398,1
1761926422,578667696,2399,1
1761926422,578668544,2400,1
1761926422,578669392,2401,1
1761926422,578670240,2402,1
1761926422,578671088,2403,1
1761926422,578671936,2404,1
1761926422,578672784,2405,1
1761926422,578673632,2406,1
1761926422,578674480,2407,1
1761926422,578675328,2408,1
1761926422,578676176,2409,1
1761926422,608645648,2410,1
1761926422,608646496,2411,1
1761926422,608647344,2412,1
1761926422,608648192,2413,1
1761926422,608649040,2427,1
1761926422,608649888,2428,1
1761926422,608650736,2429,1
1761926422,608651584,2430,1
1761926422,608652432,2431,1
1761926422,608653280,2432,1
1761926422,608654128,2433,1
1761926422,608654976,2434,1
1761926422,608655824,2435,1
1761926422,608656672,2436,1
1761926422,608657520,2437,1
1761926422,608658368,2438,1
1761926422,608659216,2439,1
1761926422,608660064,2440,1
1761926422,608660912,2441,1
1761926422,938580352,2881,1
1761926422,938581200,2882,1
1761926422,938582048,2883,1
1761926422,938582896,2884,1
1761926422,938583744,2898,1
1761926422,938584592,2899,1
1761926422,938585440,2900,1
1761926422,938586288,2901,1
1761926422,938587136,2902,1
1761926422,938587984,2903,1
1761926422,938588832,2904,1
1761926422,938589680,2905,1
1761926422,938590528,2906,1
1761926422,938591376,2907,1
1761926422,938592224,2908,1
1761926422,938593072,2909,1
1761926422,938593920,2910,1
1761926422,938594768,2911,1
1761926422,938595616,2912,1
1761926422,938596464,2913,1
1761926422,938597312,2914,1
1761926422,938598160,2915,1
1761926422,938599008,2916,1
1761926422,938599856,2917,1
1761926422,938600704,2918,1
1761926422,938601552,2919,1
1761926422,938602400,2920,1
1761926422,938603248,2921,1
1761926422,938604096,2922,1
1761926422,938604944,2923,1
1761926422,968574416,2924,1
1761926422,968575264,2925,1
1761926422,968576112,2926,1
1761926422,968576960,2927,1
1761926422,968577808,2941,1
1761926422,968578656,2942,1
1761926422,968579504,2943,1
1761926422,968580352,2944,1
1761926422,968581200,2945,1
1761926422,968582048,2946,1
1761926422,968582896,2947,1
1761926422,968583744,2948,1
1761926422,968584592,2949,1
1761926422,968585440,2950,1
1761926422,968586288,2951,1
1761926422,968587136,2952,1
1761926422,968587984,2953,1
1761926422,968588832,2954,1
1761926422,968589680,2955,1
1761926422,968590528,2956,1
1761926422,968591376,2957,1
1761926422,968592224,2958,1
1761926422,968593072,2959,1
1761926422,968593920,2960,1
1761926422,968594768,2961,1
1761926422,968595616,2962,1
1761926422,968596464,2963,1
1761926422,968597312,2964,1
1761926422,968598160,2965,1
1761926422,968599008,2966,1
1761926422,998568480,2967,1
1761926422,998569328,2968,1
1761926422,998570176,2969,1
1761926422,998571024,2970,1
1761926422,998571872,2984,1
1761926422,998572720,2985,1
1761926422,998573568,2986,1
1761926422,998574416,2987,1
1761926422,998575264,2988,1
1761926422,998576112,2989,1
1761926422,998576960,2990,1
1761926422,998577808,2991,1
1761926422,998578656,2992,1
1761926422,998579504,2993,1
1761926422,998580352,2994,1
1761926422,998581200,2995,1
1761926422,998582048,2996,1
1761926422,998582896,2997,1
1761926422,998583744,2998,1
1761926422,998584592,2999,1
1761926422,998585440,3000,1
1761926422,998586288,3001,1
1761926422,998587136,3002,1
1761926422,998587984,3003,1
1761926422,998588832,3004,1
1761926422,998589680,3005,1
1761926422,998590528,3006,1
1761926422,998591376,3007,1
1761926422,998592224,3008,1
1761926422,998593072,3009,1
1761926423,28562544,3010,1
1761926423,28563392,3011,1
1761926423,28564240,3012,1
1761926423,28565088,3013,1
1761926423,28565936,3027,1
1761926423,28566784,3028,1
1761926423,28567632,3029,1
1761926423,28568480,3030,1
1761926423,28569328,3031,1
1761926423,28570176,3032,1
1761926423,28571024,3033,1
1761926423,28571872,3034,1
1761926423,28572720,3035,1
1761926423,28573568,3036,1
1761926423,28574416,3037,1
1761926423,28575264,3038,1
1761926423,28576112,3039,1
1761926423,28576960,3040,1
1761926423,28577808,3041,1
1761926423,28578656,3042,1
1761926423,28579504,3043,1
1761926423,28580352,3044,1
1761926423,28581200,3045,1
1761926423,28582048,3046,1
1761926423,28582896,3047,1
1761926423,28583744,3048,1
1761926423,28584592,3049,1
1761926423,28585440,3050,1
1761926423,28586288,3051,1
1761926423,28587136,3052,1
1761926423,58556608,3053,1
1761926423,58557456,3054,1
1761926423,58558304,3055,1
1761926423,58559152,3056,1
1761926423,58560000,3069,1
1761926423,58560848,3070,1
1761926423,58561696,3071,1
1761926423,58562544,3072,1
1761926423,58563392,3073,1
1761926423,58564240,3074,1
1761926423,58565088,3075,1
1761926423,58565936,3076,1
1761926423,58566784,3077,1
1761926423,58567632,3078,1
1761926423,58568480,3079,1
1761926423,58569328,3080,1
1761926423,58570176,3081,1
1761926423,58571024,3082,1
1761926423,58571872,3083,1
1761926423,58572720,3084,1
1761926423,58573568,3085,1
1761926423,58574416,3086,1
1761926423,58575264,3087,1
1761926423,58576112,3088,1
1761926423,58576960,3089,1
1761926423,58577808,3090,1
1761926423,58578656,3091,1
1761926423,58579504,3092,1
1761926423,58580352,3093,1
1761926423,58581200,3094,1
1761926423,88550672,3095,1
1761926423,88551520,3096,1
1761926423,88552368,3097,1
1761926423,88553216,3098,1
1761926423,88554064,3112,1
1761926423,88554912,3113,1
1761926423,88555760,3114,1
1761926423,88556608,3115,1
1761926423,88557456,3116,1
1761926423,88558304,3117,1
1761926423,88559152,3118,1
1761926423,88560000,3119,1
1761926423,88560848,3120,1
1761926423,88561696,3121,1
1761926423,88562544,3122,1
1761926423,88563392,3123,1
1761926423,88564240,3124,1
1761926423,88565088,3125,1
1761926423,88565936,3126,1
1761926423,448479440,3610,1
1761926423,448480288,3611,1
1761926423,448481136,3612,1
1761926423,448481984,3613,1
1761926423,448482832,3626,1
1761926423,448483680,3627,1
1761926423,448484528,3628,1
1761926423,448485376,3629,1
1761926423,448486224,3630,1
1761926423,448487072,3631,1
1761926423,448487920,3632,1
1761926423,448488768,3633,1
1761926423,448489616,3634,1
1761926423,448490464,3635,1
1761926423,448491312,3636,1
1761926423,448492160,3637,1
1761926423,448493008,3638,1
1761926423,448493856,3639,1
1761926423,448494704,3640,1
1761926423,448495552,3641,1
1761926423,448496400,3642,1
1761926423,448497248,3643,1
1761926423,448498096,3644,1
1761926423,448498944,3645,1
1761926423,448499792,3646,1
1761926423,448500640,3647,1
1761926423,448501488,3648,1
1761926423,448502336,3649,1
1761926423,448503184,3650,1
1761926423,448504032,3651,1
1761926423,478473504,3652,1
1761926423,478474352,3653,1
1761926423,478475200,3654,1
1761926423,478476048,3655,1
1761926423,478476896,3669,1
1761926423,478477744,3670,1
1761926423,478478592,3671,1
1761926423,478479440,3672,1
1761926423,478480288,3673,1
1761926423,478481136,3674,1
1761926423,478481984,3675,1
1761926423,478482832,3676,1
1761926423,478483680,3677,1
1761926423,478484528,3678,1
1761926423,478485376,3679,1
1761926423,478486224,3680,1
1761926423,478487072,3681,1
1761926423,478487920,3682,1
1761926423,478488768,3683,1
1761926423,478489616,3684,1
1761926423,478490464,3685,1
1761926423,478491312,3686,1
1761926423,478492160,3687,1
1761926423,478493008,3688,1
1761926423,478493856,3689,1
1761926423,478494704,3690,1
1761926423,478495552,3691,1
1761926423,478496400,3692,1
1761926423,478497248,3693,1
1761926423,478498096,3694,1
1761926423,508467568,3695,1
1761926423,508468416,3696,1
1761926423,508469264,3697,1
1761926423,508470112,3698,1
1761926423,508470960,3712,1
1761926423,508471808,3713,1
1761926423,508472656,3714,1
1761926423,508473504,3715,1
1761926423,508474352,3716,1
1761926423,508475200,3717,1
1761926423,508476048,3718,1
1761926423,508476896,3719,1
1761926423,508477744,3720,1
1761926423,508478592,3721,1
1761926423,508479440,3722,1
1761926423,508480288,3723,1
1761926423,508481136,3724,1
1761926423,508481984,3725,1
1761926423,508482832,3726,1
1761926423,508483680,3727,1
1761926423,508484528,3728,1
1761926423,508485376,3729,1
1761926423,508486224,3730,1
1761926423,508487072,3731,1
1761926423,508487920,3732,1
1761926423,508488768,3733,1
1761926423,508489616,3734,1
1761926423,508490464,3735,1
1761926423,508491312,3736,1
1761926423,508492160,3737,1
1761926423,538461632,3738,1
1761926423,538462480,3739,1
1761926423,538463328,3740,1
1761926423,538464176,3741,1
1761926423,538465024,3755,1
1761926423,538465872,3756,1
1761926423,538466720,3757,1
1761926423,538467568,3758,1
