-----------New Capture Session with VID(1) PCP(2) Port (2)-------------
TS UTC (s),TS (ns),Sequence Number,Full FIFO Flag
1771256466,156011744,0,1
1771256466,156013440,2,1
1771256466,156015136,4,1
1771256466,156016832,6,1
1771256466,156018528,8,1
1771256466,156020224,10,1
1771256466,156021920,12,1
1771256466,156023616,14,1
1771256466,156025312,16,1
1771256466,156027008,18,1
1771256466,156028704,20,1
1771256466,156030400,22,1
1771256466,156032096,24,1
1771256466,156033792,26,1
1771256466,186006656,28,1
1771256466,186008352,30,1
1771256466,186010048,32,1
1771256466,186011744,34,1
1771256466,186013440,36,1
1771256466,186015136,38,1
1771256466,186016832,40,1
1771256466,186018528,42,1
1771256466,186020224,44,1
1771256466,186021920,46,1
1771256466,186023616,48,1
1771256466,186025312,50,1
1771256466,186027008,52,1
1771256466,186028704,54,1
1771256466,186030400,56,1
1771256466,216000720,58,1
1771256466,216002416,60,1
1771256466,216003264,70,1
1771256466,216004960,72,1
1771256466,216006656,74,1
1771256466,216008352,76,1
1771256466,216010048,78,1
1771256466,216011744,80,1
1771256466,216013440,82,1
1771256466,216015136,84,1
1771256466,216016832,86,1
1771256466,216018528,88,1
1771256466,216020224,90,1
1771256466,216021920,92,1
1771256466,216023616,94,1
1771256466,245993936,96,1
1771256466,245995632,98,1
1771256466,245998176,114,1
1771256466,245999872,116,1
1771256466,246001568,118,1
1771256466,246003264,120,1
1771256466,246004960,122,1
1771256466,246006656,124,1
1771256466,246008352,126,1
1771256466,246010048,128,1
1771256466,246011744,130,1
1771256466,246013440,132,1
1771256466,246015136,134,1
1771256466,246016832,136,1
1771256466,246018528,138,1
1771256466,275988848,140,1
1771256466,275990544,142,1
1771256466,275991392,156,1
1771256466,275993088,158,1
1771256466,275994784,160,1
1771256466,275996480,162,1
1771256466,275998176,164,1
1771256466,275999872,166,1
1771256466,276001568,168,1
1771256466,276003264,170,1
1771256466,276004960,172,1
1771256466,276006656,174,1
1771256466,276008352,176,1
1771256466,276010048,178,1
1771256466,276011744,180,1
1771256466,305982064,182,1
1771256466,305983760,184,1
1771256466,305986304,200,1
1771256466,305988000,202,1
1771256466,305989696,204,1
1771256466,305991392,206,1
1771256466,305993088,208,1
1771256466,305994784,210,1
1771256466,305996480,212,1
1771256466,305998176,214,1
1771256466,305999872,216,1
1771256466,306001568,218,1
1771256466,306003264,220,1
1771256466,306004960,222,1
1771256466,306006656,224,1
1771256466,335976976,226,1
1771256466,335978672,228,1
1771256466,335980368,242,1
1771256466,335982064,244,1
1771256466,335983760,246,1
1771256466,335985456,248,1
1771256466,335987152,250,1
1771256466,335988848,252,1
1771256466,335990544,254,1
1771256466,335992240,256,1
1771256466,335993936,258,1
1771256466,335995632,260,1
1771256466,335997328,262,1
1771256466,335999024,264,1
1771256466,336000720,266,1
1771256466,365971040,268,1
1771256466,365972736,270,1
1771256466,365973584,284,1
1771256466,365975280,286,1
1771256466,365976976,288,1
1771256466,365978672,290,1
1771256466,365980368,292,1
1771256466,365982064,294,1
1771256466,365983760,296,1
1771256466,365985456,298,1
1771256466,365987152,300,1
1771256466,365988848,302,1
1771256466,365990544,304,1
1771256466,365992240,306,1
1771256466,365993936,308,1
1771256466,395964256,310,1
1771256466,395965952,312,1
1771256466,395968496,328,1
1771256466,395970192,330,1
1771256466,395971888,332,1
1771256466,395973584,334,1
1771256466,395975280,336,1
1771256466,395976976,338,1
1771256466,395978672,340,1
1771256466,395980368,342,1
1771256466,395982064,344,1
1771256466,395983760,346,1
1771256466,395985456,348,1
1771256466,395987152,350,1
1771256466,395988848,352,1
1771256466,425959168,354,1
1771256466,425960864,356,1
1771256466,425961712,370,1
1771256466,425963408,372,1
1771256466,425965104,374,1
1771256466,425966800,376,1
1771256466,425968496,378,1
1771256466,425970192,380,1
1771256466,425971888,382,1
1771256466,425973584,384,1
1771256466,425975280,386,1
1771256466,425976976,388,1
1771256466,425978672,390,1
1771256466,425980368,392,1
1771256466,425982064,394,1
1771256466,455956848,396,1
1771256466,455958544,398,1
1771256466,455961088,414,1
1771256466,455962784,416,1
1771256466,455964480,418,1
1771256466,455966176,420,1
1771256466,455967872,422,1
1771256466,455969568,424,1
1771256466,455971264,426,1
1771256466,455972960,428,1
1771256466,455974656,430,1
1771256466,455976352,432,1
1771256466,485952032,434,1
1771256466,485953728,436,1
1771256466,485955424,438,1
1771256466,485957120,440,1
1771256466,485958816,442,1
1771256466,485959664,456,1
1771256466,485961360,458,1
1771256466,485963056,460,1
1771256466,605922704,610,1
1771256466,605924400,612,1
1771256466,605926944,628,1
1771256466,605928640,630,1
1771256466,605930336,632,1
1771256466,605932032,634,1
1771256466,605933728,636,1
1771256466,605935424,638,1
1771256466,605937120,640,1
1771256466,605938816,642,1
1771256466,605940512,644,1
1771256466,605942208,646,1
1771256466,605943904,648,1
1771256466,605945600,650,1
1771256466,605947296,652,1
1771256466,635917616,654,1
