-----------New Capture Session with VID(1) PCP(2) Port (3)-------------
TS UTC (s),TS (ns),Sequence Number,Full FIFO Flag
1771256466,164192336,0,1
1771256466,164195952,2,1
1771256466,164199632,4,1
1771256466,164204304,6,1
1771256466,164207984,8,1
1771256466,164211664,10,1
1771256466,164215344,12,1
1771256466,164219024,14,1
1771256466,164222704,16,1
1771256466,164226384,18,1
1771256466,164230064,20,1
1771256466,164233744,22,1
1771256466,164237424,24,1
1771256466,164241104,26,1
1771256466,193877648,28,1
1771256466,193881328,30,1
1771256466,193885904,32,1
1771256466,193889584,34,1
1771256466,193893264,36,1
1771256466,193896944,38,1
1771256466,193900624,40,1
1771256466,193904304,42,1
1771256466,193907984,44,1
1771256466,193911664,46,1
1771256466,193915344,48,1
1771256466,193919024,50,1
1771256466,193922704,52,1
1771256466,193926384,54,1
1771256466,193930064,56,1
1771256466,223880880,58,1
1771256466,223884560,60,1
1771256466,223886384,70,1
1771256466,223890992,72,1
1771256466,223894672,74,1
1771256466,223898352,76,1
1771256466,223902032,78,1
1771256466,223905712,80,1
1771256466,223909392,82,1
1771256466,223913072,84,1
1771256466,223916752,86,1
1771256466,223920432,88,1
1771256466,223924112,90,1
1771256466,223927792,92,1
1771256466,223931472,94,1
1771256466,253907472,96,1
1771256466,253911088,98,1
1771256466,253917488,114,1
1771256466,253921168,116,1
1771256466,253924848,118,1
1771256466,253928528,120,1
1771256466,253932208,122,1
1771256466,253935888,124,1
1771256466,253939568,126,1
1771256466,253943248,128,1
1771256466,253946928,130,1
1771256466,253950608,132,1
1771256466,253954288,134,1
1771256466,253957968,136,1
1771256466,253961648,138,1
1771256466,284587760,140,1
1771256466,284591440,142,1
1771256466,284593264,156,1
1771256466,284597936,158,1
1771256466,284601616,160,1
1771256466,284605296,162,1
1771256466,284608976,164,1
1771256466,284612656,166,1
1771256466,284616336,168,1
1771256466,284620016,170,1
1771256466,284623696,172,1
1771256466,284627376,174,1
1771256466,284631056,176,1
1771256466,284634736,178,1
1771256466,284638416,180,1
1771256466,314577392,182,1
1771256466,314581008,184,1
1771256466,314587440,200,1
1771256466,314591120,202,1
1771256466,314594800,204,1
1771256466,314598480,206,1
1771256466,314602160,208,1
1771256466,314605840,210,1
1771256466,314609520,212,1
1771256466,314613200,214,1
1771256466,314616880,216,1
1771256466,314620560,218,1
1771256466,314624240,220,1
1771256466,314627920,222,1
1771256466,314631600,224,1
1771256466,344581392,226,1
1771256466,344585072,228,1
1771256466,344589712,242,1
1771256466,344593392,244,1
1771256466,344597072,246,1
1771256466,344600752,248,1
1771256466,344604432,250,1
1771256466,344608112,252,1
1771256466,344611792,254,1
1771256466,344615472,256,1
1771256466,344619152,258,1
1771256466,344622832,260,1
1771256466,344626512,262,1
1771256466,344630192,264,1
1771256466,344633872,266,1
1771256466,373947984,268,1
1771256466,373951664,270,1
1771256466,373953488,284,1
1771256466,373958128,286,1
1771256466,373961808,288,1
1771256466,373965488,290,1
1771256466,373969168,292,1
1771256466,373972848,294,1
1771256466,373976528,296,1
1771256466,373980208,298,1
1771256466,373983888,300,1
1771256466,373987568,302,1
1771256466,373991248,304,1
1771256466,373994928,306,1
1771256466,373998608,308,1
1771256466,403949456,310,1
1771256466,403953072,312,1
1771256466,403959504,328,1
1771256466,403963184,330,1
1771256466,403966864,332,1
1771256466,403970544,334,1
1771256466,403974224,336,1
1771256466,403977904,338,1
1771256466,403981584,340,1
1771256466,403985264,342,1
1771256466,403988944,344,1
1771256466,403992624,346,1
1771256466,403996304,348,1
1771256466,403999984,350,1
1771256466,404003664,352,1
1771256466,433977584,354,1
1771256466,433981264,356,1
1771256466,433983088,370,1
1771256466,433987792,372,1
1771256466,433991472,374,1
1771256466,433995152,376,1
1771256466,433998832,378,1
1771256466,434002512,380,1
1771256466,434006192,382,1
1771256466,434009872,384,1
1771256466,434013552,386,1
1771256466,434017232,388,1
1771256466,434020912,390,1
1771256466,434024592,392,1
1771256466,434028272,394,1
1771256466,463901968,396,1
1771256466,463905584,398,1
1771256466,463912112,414,1
1771256466,463915792,416,1
1771256466,463919472,418,1
1771256466,463923152,420,1
1771256466,463926832,422,1
1771256466,463930512,424,1
1771256466,463934192,426,1
1771256466,463937872,428,1
1771256466,463941552,430,1
1771256466,463945232,432,1
1771256466,493857040,434,1
1771256466,493860656,436,1
1771256466,493864336,438,1
1771256466,493868016,440,1
1771256466,493871696,442,1
1771256466,493873520,456,1
1771256466,493877200,458,1
1771256466,493880880,460,1
1771256466,584059632,568,1
1771256466,584063312,570,1
1771256466,584065168,584,1
1771256466,584070096,586,1
1771256466,584073776,588,1
1771256466,584077456,590,1
1771256466,584081136,592,1
1771256466,584084816,594,1
1771256466,584088496,596,1
1771256466,584092176,598,1
1771256466,584095856,600,1
1771256466,584099536,602,1
1771256466,584103216,604,1
1771256466,584106896,606,1
1771256466,584110576,608,1
1771256466,614052080,610,1
1771256466,614055696,612,1
1771256466,614062224,628,1
1771256466,614065904,630,1
1771256466,614069584,632,1
1771256466,614073264,634,1
1771256466,614076944,636,1
1771256466,614080624,638,1
1771256466,614084304,640,1
1771256466,614087984,642,1
1771256466,614091664,644,1
1771256466,614095344,646,1
1771256466,614099024,648,1
1771256466,614102704,650,1
1771256466,614106384,652,1
1771256466,644037744,654,1
1771256466,644041424,656,1
1771256466,644043280,670,1
1771256466,644047920,672,1
1771256466,644051600,674,1
1771256466,644055280,676,1
1771256466,644058960,678,1
1771256466,644062640,680,1
1771256466,644066320,682,1
1771256466,644070000,684,1
1771256466,644073680,686,1
1771256466,644077360,688,1
1771256466,644081040,690,1
1771256466,644084720,692,1
1771256466,644088400,694,1
1771256466,674076400,696,1
1771256466,674080016,698,1
1771256466,674086544,714,1
1771256466,674090224,716,1
1771256466,674093904,718,1
1771256466,674097584,720,1
1771256466,674101264,722,1
1771256466,674104944,724,1
1771256466,674108624,726,1
1771256466,674112304,728,1
1771256466,674115984,730,1
1771256466,674119664,732,1
1771256466,674123344,734,1
1771256466,674127024,736,1
1771256466,674130704,738,1
1771256466,704085424,740,1
1771256466,704089104,742,1
1771256466,704090960,756,1
1771256466,704095632,758,1
1771256466,704099312,760,1
1771256466,704102992,762,1
1771256466,704106672,764,1
1771256466,704110352,766,1
1771256466,704114032,768,1
1771256466,704117712,770,1
1771256466,704121392,772,1
1771256466,704125072,774,1
1771256466,704128752,776,1
1771256466,704132432,778,1
1771256466,704136112,780,1
1771256466,734101072,782,1
1771256466,734104688,784,1
1771256466,734108368,798,1
1771256466,734117648,800,1
1771256466,734121328,802,1
1771256466,734125008,804,1
1771256466,734128688,806,1
1771256466,734132368,808,1
1771256466,734136048,810,1
1771256466,734139728,812,1
1771256466,734143408,814,1
1771256466,734147088,816,1
1771256466,734150768,818,1
1771256466,734154448,820,1
1771256466,734158128,822,1
1771256466,764104688,824,1
1771256466,764108304,826,1
1771256466,764114992,842,1
1771256466,764118672,844,1
1771256466,764122352,846,1
1771256466,764126032,848,1
1771256466,764129712,850,1
1771256466,764133392,852,1
1771256466,764137072,854,1
1771256466,764140752,856,1
1771256466,764144432,858,1
1771256466,764148112,860,1
1771256466,764151792,862,1
1771256466,764155472,864,1
1771256466,764159152,866,1
1771256466,794127568,868,1
1771256466,794131248,870,1
1771256466,794133104,884,1
1771256466,794137936,886,1
1771256466,794141616,888,1
1771256466,794145296,890,1
1771256466,794148976,892,1
1771256466,794152656,894,1
1771256466,794156336,896,1
1771256466,794160016,898,1
1771256466,794163696,900,1
1771256466,794167376,902,1
1771256466,794171056,904,1
1771256466,794174736,906,1
1771256466,794178416,908,1
1771256466,824124688,910,1
1771256466,824128304,912,1
1771256466,824134800,928,1
1771256466,824138480,930,1
1771256466,824142160,932,1
1771256466,824145840,934,1
1771256466,824149520,936,1
1771256466,824153200,938,1
1771256466,824156880,940,1
1771256466,824160560,942,1
1771256466,824164240,944,1
1771256466,824167920,946,1
1771256466,824171600,948,1
1771256466,824175280,950,1
1771256466,824178960,952,1
1771256466,854155216,954,1
1771256466,854158896,956,1
1771256466,854160752,970,1
1771256466,854165328,972,1
1771256466,854169008,974,1
1771256466,854172688,976,1
1771256466,854176368,978,1
1771256466,854180048,980,1
1771256466,854183728,982,1
1771256466,854187408,984,1
1771256466,854191088,986,1
1771256466,854194768,988,1
1771256466,854198448,990,1
1771256466,854202128,992,1
1771256466,854205808,994,1
1771256466,884132464,996,1
1771256466,884136080,998,1
1771256466,884142512,1014,1
1771256466,884146192,1016,1
1771256466,884149872,1018,1
1771256466,884153552,1020,1
1771256466,884157232,1022,1
1771256466,884160912,1024,1
1771256466,884164592,1026,1
1771256466,884168272,1028,1
1771256466,884171952,1030,1
1771256466,884175632,1032,1
1771256466,884179312,1034,1
1771256466,884182992,1036,1
1771256466,884186672,1038,1
1771256466,914168752,1040,1
1771256466,914172432,1042,1
1771256466,914174288,1056,1
1771256466,914179088,1058,1
1771256467,93730672,1296,1
1771256467,93734288,1298,1
1771256467,93740720,1314,1
1771256467,93744400,1316,1
1771256467,93748080,1318,1
1771256467,93751760,1320,1
1771256467,93755440,1322,1
1771256467,93759120,1324,1
1771256467,93762800,1326,1
1771256467,93766480,1328,1
1771256467,93770160,1330,1
1771256467,93773840,1332,1
1771256467,93777520,1334,1
1771256467,93781200,1336,1
1771256467,93784880,1338,1
1771256467,123570224,1340,1
1771256467,123573904,1342,1
1771256467,123575760,1356,1
1771256467,123580624,1358,1
1771256467,123584304,1360,1
1771256467,123587984,1362,1
1771256467,123591664,1364,1
1771256467,123595344,1366,1
1771256467,123599024,1368,1
1771256467,123602704,1370,1
1771256467,123606384,1372,1
1771256467,123610064,1374,1
1771256467,123613744,1376,1
1771256467,123617424,1378,1
1771256467,123621104,1380,1
1771256467,153768336,1382,1
1771256467,153771952,1384,1
1771256467,153775632,1398,1
1771256467,153780240,1400,1
1771256467,153783920,1402,1
1771256467,153787600,1404,1
1771256467,153791280,1406,1
1771256467,153794960,1408,1
1771256467,153798640,1410,1
1771256467,153802320,1412,1
1771256467,153806000,1414,1
1771256467,153809680,1416,1
1771256467,153813360,1418,1
1771256467,153817040,1420,1
1771256467,153820720,1422,1
1771256467,183788976,1424,1
1771256467,183792592,1426,1
1771256467,183799120,1442,1
1771256467,183802800,1444,1
1771256467,183806480,1446,1
1771256467,183810160,1448,1
1771256467,183813840,1450,1
1771256467,183817520,1452,1
1771256467,183821200,1454,1
1771256467,183824880,1456,1
1771256467,183828560,1458,1
1771256467,183832240,1460,1
1771256467,183835920,1462,1
1771256467,183839600,1464,1
1771256467,183843280,1466,1
1771256467,214581776,1468,1
1771256467,214585456,1470,1
1771256467,214587312,1484,1
1771256467,214592208,1486,1
1771256467,214595888,1488,1
1771256467,214599568,1490,1
1771256467,214603248,1492,1
1771256467,214606928,1494,1
1771256467,214610608,1496,1
1771256467,214614288,1498,1
1771256467,214617968,1500,1
1771256467,214621648,1502,1
1771256467,214625328,1504,1
1771256467,214629008,1506,1
1771256467,214632688,1508,1
1771256467,243827824,1510,1
1771256467,243831440,1512,1
1771256467,243837936,1528,1
1771256467,243841616,1530,1
1771256467,243845296,1532,1
1771256467,243848976,1534,1
1771256467,243852656,1536,1
1771256467,243856336,1538,1
1771256467,243860016,1540,1
1771256467,243863696,1542,1
1771256467,243867376,1544,1
1771256467,243871056,1546,1
1771256467,243874736,1548,1
1771256467,243878416,1550,1
1771256467,243882096,1552,1
1771256467,274657904,1554,1
1771256467,274661584,1556,1
1771256467,274663440,1570,1
1771256467,274668016,1572,1
1771256467,274671696,1574,1
1771256467,274675376,1576,1
1771256467,274679056,1578,1
1771256467,274682736,1580,1
1771256467,274686416,1582,1
1771256467,274690096,1584,1
1771256467,274693776,1586,1
1771256467,274697456,1588,1
1771256467,274701136,1590,1
1771256467,274704816,1592,1
1771256467,274708496,1594,1
1771256467,304577040,1596,1
1771256467,304580656,1598,1
1771256467,304587184,1614,1
1771256467,304590864,1616,1
1771256467,304594544,1618,1
1771256467,304598224,1620,1
1771256467,304601904,1622,1
1771256467,304605584,1624,1
1771256467,304609264,1626,1
1771256467,304612944,1628,1
1771256467,304616624,1630,1
1771256467,304620304,1632,1
1771256467,304623984,1634,1
1771256467,304627664,1636,1
1771256467,304631344,1638,1
1771256467,334578832,1640,1
1771256467,334582512,1642,1
1771256467,334587440,1656,1
1771256467,334591120,1658,1
1771256467,334594800,1660,1
1771256467,334598480,1662,1
1771256467,334602160,1664,1
1771256467,334605840,1666,1
1771256467,334609520,1668,1
1771256467,334613200,1670,1
1771256467,334616880,1672,1
1771256467,334620560,1674,1
1771256467,334624240,1676,1
1771256467,334627920,1678,1
1771256467,334631600,1680,1
1771256467,363853712,1682,1
1771256467,363857392,1684,1
1771256467,363859248,1698,1
1771256467,363863952,1700,1
1771256467,363867632,1702,1
1771256467,363871312,1704,1
1771256467,363874992,1706,1
1771256467,363878672,1708,1
1771256467,363882352,1710,1
1771256467,363886032,1712,1
1771256467,363889712,1714,1
1771256467,363893392,1716,1
1771256467,363897072,1718,1
1771256467,363900752,1720,1
1771256467,363904432,1722,1
1771256467,393869392,1724,1
1771256467,393873008,1726,1
1771256467,393879472,1742,1
1771256467,393883152,1744,1
1771256467,393886832,1746,1
1771256467,393890512,1748,1
1771256467,393894192,1750,1
1771256467,393897872,1752,1
1771256467,393901552,1754,1
1771256467,393905232,1756,1
1771256467,393908912,1758,1
1771256467,393912592,1760,1
1771256467,393916272,1762,1
1771256467,393919952,1764,1
1771256467,393923632,1766,1
1771256467,423933424,1768,1
1771256467,423937104,1770,1
1771256467,423938960,1784,1
1771256467,423945200,1786,1
1771256467,573955312,1982,1
1771256467,573958992,1984,1
1771256467,573960848,1998,1
1771256467,573965488,2000,1
1771256467,573969168,2002,1
1771256467,573972848,2004,1
1771256467,573976528,2006,1
1771256467,573980208,2008,1
1771256467,573983888,2010,1
1771256467,573987568,2012,1
1771256467,573991248,2014,1
1771256467,573994928,2016,1
1771256467,573998608,2018,1
1771256467,574002288,2020,1
1771256467,574005968,2022,1
1771256467,603966320,2024,1
1771256467,603969936,2026,1
1771256467,603976368,2042,1
1771256467,603980048,2044,1
1771256467,603983728,2046,1
1771256467,603987408,2048,1
1771256467,603991088,2050,1
1771256467,603994768,2052,1
1771256467,603998448,2054,1
1771256467,604002128,2056,1
1771256467,604005808,2058,1
1771256467,604009488,2060,1
1771256467,604013168,2062,1
1771256467,604016848,2064,1
1771256467,604020528,2066,1
1771256467,633987120,2068,1
1771256467,633990800,2070,1
1771256467,633992624,2084,1
1771256467,633997232,2086,1
1771256467,634000912,2088,1
1771256467,634004592,2090,1
1771256467,634008272,2092,1
1771256467,634011952,2094,1
1771256467,634015632,2096,1
1771256467,634019312,2098,1
1771256467,634022992,2100,1
1771256467,634026672,2102,1
1771256467,634030352,2104,1
1771256467,634034032,2106,1
1771256467,634037712,2108,1
1771256467,664003856,2110,1
1771256467,664007472,2112,1
1771256467,664013936,2128,1
1771256467,664017616,2130,1
1771256467,664021296,2132,1
1771256467,664024976,2134,1
1771256467,664028656,2136,1
1771256467,664032336,2138,1
1771256467,664036016,2140,1
1771256467,664039696,2142,1
1771256467,664043376,2144,1
1771256467,664047056,2146,1
1771256467,664050736,2148,1
1771256467,664054416,2150,1
1771256467,664058096,2152,1
1771256467,694591536,2154,1
1771256467,694595216,2156,1
1771256467,694597040,2170,1
1771256467,694601648,2172,1
1771256467,694605328,2174,1
1771256467,694609008,2176,1
1771256467,694612688,2178,1
1771256467,694616368,2180,1
1771256467,694620048,2182,1
1771256467,694623728,2184,1
1771256467,694627408,2186,1
1771256467,694631088,2188,1
1771256467,694634768,2190,1
1771256467,694638448,2192,1
1771256467,694642128,2194,1
1771256467,724025616,2196,1
1771256467,724029232,2198,1
1771256467,724032912,2212,1
1771256467,724037552,2214,1
1771256467,724041232,2216,1
1771256467,724044912,2218,1
1771256467,724048592,2220,1
1771256467,724052272,2222,1
1771256467,724055952,2224,1
1771256467,724059632,2226,1
1771256467,724063312,2228,1
1771256467,724066992,2230,1
1771256467,724070672,2232,1
1771256467,724074352,2234,1
1771256467,724078032,2236,1
1771256467,754036432,2238,1
1771256467,754040048,2240,1
1771256467,754046448,2256,1
1771256467,754050128,2258,1
1771256467,754053808,2260,1
1771256467,754057488,2262,1
1771256467,754061168,2264,1
1771256467,754064848,2266,1
1771256467,754068528,2268,1
1771256467,754072208,2270,1
1771256467,754075888,2272,1
1771256467,754079568,2274,1
1771256467,754083248,2276,1
1771256467,754086928,2278,1
1771256467,754090608,2280,1
1771256467,784065744,2282,1
1771256467,784069424,2284,1
1771256467,784071248,2298,1
1771256467,784075920,2300,1
1771256467,784079600,2302,1
1771256467,784083280,2304,1
1771256467,784086960,2306,1
1771256467,784090640,2308,1
1771256467,784094320,2310,1
1771256467,784098000,2312,1
1771256467,784101680,2314,1
1771256467,784105360,2316,1
1771256467,784109040,2318,1
1771256467,784112720,2320,1
1771256467,784116400,2322,1
1771256467,814046032,2324,1
1771256467,814049648,2326,1
1771256467,814056144,2342,1
1771256467,814059824,2344,1
1771256467,814063504,2346,1
1771256467,814067184,2348,1
1771256467,814070864,2350,1
1771256467,814074544,2352,1
1771256467,814078224,2354,1
1771256467,814081904,2356,1
1771256467,814085584,2358,1
1771256467,814089264,2360,1
