-----------New Capture Session with VID(1) PCP(2) Port (3)-------------
TS UTC (s),TS (ns),Sequence Number,Full FIFO Flag
1761926420,898995296,0,0
1761926420,898997088,1,0
1761926420,898998912,2,0
1761926420,899000768,3,0
1761926420,899002592,4,0
1761926420,899004448,5,0
1761926420,899006272,6,0
1761926420,899008128,7,0
1761926420,899009952,8,0
1761926420,899011808,9,0
1761926420,899013632,10,0
1761926420,899015488,11,0
1761926420,899017312,12,0
1761926420,899019168,13,0
1761926420,899020992,14,0
1761926420,899022848,15,0
1761926420,899024672,16,0
1761926420,899026528,17,0
1761926420,899028352,18,0
1761926420,899030208,19,0
1761926420,899032032,20,0
1761926420,899033888,21,0
1761926420,899035712,22,0
1761926420,899037568,23,0
1761926420,899039392,24,0
1761926420,899041248,25,0
1761926420,899043072,26,0
1761926420,928989312,27,0
1761926420,928991136,28,0
1761926420,928992992,29,0
1761926420,928994816,30,0
1761926420,928996672,31,0
1761926420,928998496,32,0
1761926420,929000352,33,0
1761926420,929002176,34,0
1761926420,929004032,35,0
1761926420,929005856,36,0
1761926420,929007712,37,0
1761926420,929009536,38,0
1761926420,929011392,39,0
1761926420,929013216,40,0
1761926420,929015072,41,0
1761926420,929016896,42,0
1761926420,929018752,43,0
1761926420,929020576,44,0
1761926420,929022432,45,0
1761926420,929024256,46,0
1761926420,929026112,47,0
1761926420,929027936,48,0
1761926420,929029792,49,0
1761926420,929031616,50,0
1761926420,929033472,51,0
1761926420,929035296,52,0
1761926420,929037152,53,0
1761926420,929038976,54,0
1761926420,929040832,55,0
1761926420,929042656,56,0
1761926420,958983360,57,0
1761926420,958985216,58,0
1761926420,958987040,59,0
1761926420,958988896,60,0
1761926420,958990720,70,0
1761926420,958992576,71,0
1761926420,958994400,72,0
1761926420,958996256,73,0
1761926420,958998080,74,0
1761926420,958999936,75,0
1761926420,959001760,76,0
1761926420,959003616,77,0
1761926420,959005440,78,0
1761926420,959007296,79,0
1761926420,959009120,80,0
1761926420,959010976,81,0
1761926420,959012800,82,0
1761926420,959014656,83,0
1761926420,959016480,84,0
1761926420,959018336,85,0
1761926420,959020160,86,0
1761926420,959022016,87,0
1761926420,959023840,88,0
1761926420,959025696,89,0
1761926420,959027520,90,0
1761926420,959029376,91,0
1761926420,959031200,92,0
1761926420,959033056,93,0
1761926420,959034880,94,0
1761926420,959036736,95,0
1761926420,988977440,96,0
1761926420,988979264,97,0
1761926420,988981120,98,0
1761926420,988982944,99,0
1761926420,988984800,113,0
1761926420,988986624,114,0
1761926420,988988480,115,0
1761926420,988990304,116,0
1761926420,988992160,117,0
1761926420,988993984,118,0
1761926420,988995840,119,0
1761926420,988997664,120,0
1761926420,988999520,121,0
1761926420,989001344,122,0
1761926420,989003200,123,0
1761926420,989005024,124,0
1761926420,989006880,125,0
1761926420,989008704,126,0
1761926420,989010560,127,0
1761926420,989012384,128,0
1761926420,989014240,129,0
1761926420,989016064,130,0
1761926420,989017920,131,0
1761926420,989019744,132,0
1761926420,989021600,133,0
1761926420,989023424,134,0
1761926420,989025280,135,0
1761926420,989027104,136,0
1761926420,989028960,137,0
1761926420,989030784,138,0
1761926421,18971488,139,1
1761926421,18973344,140,1
1761926421,18975168,141,1
1761926421,18977024,142,1
1761926421,18978848,156,1
1761926421,18980704,157,1
1761926421,18982528,158,1
1761926421,18984384,159,1
1761926421,18986208,160,1
1761926421,18988064,161,1
1761926421,18989888,162,1
1761926421,18991744,163,1
1761926421,18993568,164,1
1761926421,18995424,165,1
1761926421,18997248,166,1
1761926421,18999104,167,1
1761926421,19000928,168,1
1761926421,19002784,169,1
1761926421,19004608,170,1
1761926421,19006464,171,1
1761926421,19008288,172,1
1761926421,19010144,173,1
1761926421,19011968,174,1
1761926421,19013824,175,1
1761926421,19015648,176,1
1761926421,19017504,177,1
1761926421,19019328,178,1
1761926421,19021184,179,1
1761926421,19023008,180,1
1761926421,19024864,181,1
1761926421,48965568,182,1
1761926421,48967392,183,1
1761926421,48969248,184,1
1761926421,48971072,185,1
1761926421,48972928,199,1
1761926421,48974752,200,1
1761926421,48976608,201,1
1761926421,48978432,202,1
1761926421,48980288,203,1
1761926421,48982112,204,1
1761926421,48983968,205,1
1761926421,48985792,206,1
1761926421,48987648,207,1
1761926421,48989472,208,1
1761926421,48991328,209,1
1761926421,48993152,210,1
1761926421,48995008,211,1
1761926421,48996832,212,1
1761926421,48998688,213,1
1761926421,49000512,214,1
1761926421,49002368,215,1
1761926421,49004192,216,1
1761926421,49006048,217,1
1761926421,49007872,218,1
1761926421,49009728,219,1
1761926421,49011552,220,1
1761926421,49013408,221,1
1761926421,49015232,222,1
1761926421,49017088,223,1
1761926421,49018912,224,1
1761926421,78959616,225,1
1761926421,78961472,226,1
1761926421,78963296,227,1
1761926421,78965152,228,1
1761926421,78966976,242,1
1761926421,78968832,243,1
1761926421,78970656,244,1
1761926421,78972512,245,1
1761926421,78974336,246,1
1761926421,78976192,247,1
1761926421,78978016,248,1
1761926421,78979872,249,1
1761926421,78981696,250,1
1761926421,78983552,251,1
1761926421,78985376,252,1
1761926421,78987232,253,1
1761926421,78989056,254,1
1761926421,78990912,255,1
1761926421,78992736,256,1
1761926421,78994592,257,1
1761926421,78996416,258,1
1761926421,78998272,259,1
1761926421,79000096,260,1
1761926421,79001952,261,1
1761926421,79003776,262,1
1761926421,79005632,263,1
1761926421,79007456,264,1
1761926421,79009312,265,1
1761926421,79011136,266,1
1761926421,79012992,267,1
1761926421,108953696,268,1
1761926421,108955520,269,1
1761926421,108957376,270,1
1761926421,108959200,271,1
1761926421,108961056,284,1
1761926421,108962880,285,1
1761926421,108964736,286,1
1761926421,108966560,287,1
1761926421,108968416,288,1
1761926421,108970240,289,1
1761926421,108972096,290,1
1761926421,108973920,291,1
1761926421,108975776,292,1
1761926421,108977600,293,1
1761926421,108979456,294,1
1761926421,108981280,295,1
1761926421,108983136,296,1
1761926421,108984960,297,1
1761926421,108986816,298,1
1761926421,108988640,299,1
1761926421,108990496,300,1
1761926421,108992320,301,1
1761926421,108994176,302,1
1761926421,108996000,303,1
1761926421,108997856,304,1
1761926421,108999680,305,1
1761926421,109001536,306,1
1761926421,109003360,307,1
1761926421,109005216,308,1
1761926421,109007040,309,1
1761926421,138947776,310,1
1761926421,138949600,311,1
1761926421,138951456,312,1
1761926421,138953280,313,1
1761926421,138955136,327,1
1761926421,138956960,328,1
1761926421,138958816,329,1
1761926421,138960640,330,1
1761926421,138962496,331,1
1761926421,138964320,332,1
1761926421,138966176,333,1
1761926421,138968000,334,1
1761926421,138969856,335,1
1761926421,138971680,336,1
1761926421,138973536,337,1
1761926421,138975360,338,1
1761926421,138977216,339,1
1761926421,138979040,340,1
1761926421,138980896,341,1
1761926421,138982720,342,1
1761926421,138984576,343,1
1761926421,138986400,344,1
1761926421,138988256,345,1
1761926421,138990080,346,1
1761926421,138991936,347,1
1761926421,138993760,348,1
1761926421,138995616,349,1
1761926421,138997440,350,1
1761926421,138999296,351,1
1761926421,139001120,352,1
1761926421,168941824,353,1
1761926421,168943648,354,1
1761926421,168945504,355,1
1761926421,168947328,356,1
1761926421,168949184,370,1
1761926421,168951008,371,1
1761926421,168952864,372,1
1761926421,168954688,373,1
1761926421,168956544,374,1
1761926421,168958368,375,1
1761926421,168960224,376,1
1761926421,168962048,377,1
1761926421,168963904,378,1
1761926421,168965728,379,1
1761926421,168967584,380,1
1761926421,168969408,381,1
1761926421,168971264,382,1
1761926421,168973088,383,1
1761926421,168974944,384,1
1761926421,528870592,867,1
1761926421,528872416,868,1
