-----------New Capture Session with VID(1) PCP(2) Port (2)-------------
TS UTC (s),TS (ns),Sequence Number,Full FIFO Flag
1738013693,586017952,13521912,1
1738013693,586019648,13521914,1
1738013693,586022192,13538126,1
1738013693,586023888,13538128,1
1738013693,586025584,13538130,1
1738013693,586027280,13538132,1
1738013693,586028976,13538134,1
1738013693,586030672,13538136,1
1738013693,586032368,13538138,1
1738013693,586034064,13538140,1
1738013693,586035760,13538142,1
1738013693,586037456,13538144,1
1738013693,586039152,13538146,1
1738013693,586040848,13538148,1
1738013693,586042544,13538150,1
1738013693,616044112,13538152,1
1738013693,616045808,13538154,1
1738013693,616046656,13554362,1
1738013693,616048352,13554364,1
1738013693,616050048,13554366,1
1738013693,616051744,13554368,1
1738013693,616053440,13554370,1
1738013693,616055136,13554372,1
1738013693,616056832,13554374,1
1738013693,616058528,13554376,1
1738013693,616060224,13554378,1
1738013693,616061920,13554380,1
1738013693,616063616,13554382,1
1738013693,616065312,13554384,1
1738013693,616067008,13554386,1
1738013693,646068576,13554388,1
1738013693,646070272,13554390,1
1738013693,646071968,13570600,1
1738013693,646073664,13570602,1
1738013693,646075360,13570604,1
1738013693,646077056,13570606,1
1738013693,646078752,13570608,1
1738013693,646080448,13570610,1
1738013693,646082144,13570612,1
1738013693,646083840,13570614,1
1738013693,646085536,13570616,1
1738013693,646087232,13570618,1
1738013693,646088928,13570620,1
1738013693,646090624,13570622,1
1738013693,646092320,13570624,1
1738013693,676093888,13570626,1
1738013693,676095584,13570628,1
1738013693,676097280,13586838,1
1738013693,676098976,13586840,1
1738013693,676100672,13586842,1
1738013693,676102368,13586844,1
1738013693,676104064,13586846,1
1738013693,676105760,13586848,1
1738013693,676107456,13586850,1
1738013693,676109152,13586852,1
1738013693,676110848,13586854,1
1738013693,676112544,13586856,1
1738013693,676114240,13586858,1
1738013693,676115936,13586860,1
1738013693,676117632,13586862,1
1738013693,706119200,13586864,1
1738013693,706120896,13586866,1
1738013693,706123440,13603078,1
1738013693,706125136,13603080,1
1738013693,706126832,13603082,1
1738013693,706128528,13603084,1
1738013693,706130224,13603086,1
1738013693,706131920,13603088,1
1738013693,706133616,13603090,1
1738013693,706135312,13603092,1
1738013693,706137008,13603094,1
1738013693,706138704,13603096,1
1738013693,706140400,13603098,1
1738013693,706142096,13603100,1
1738013693,706143792,13603102,1
1738013693,736145360,13603104,1
1738013693,736147056,13603106,1
1738013693,736148752,13619316,1
1738013693,736150448,13619318,1
1738013693,736152144,13619320,1
1738013693,736153840,13619322,1
1738013693,736155536,13619324,1
1738013693,736157232,13619326,1
1738013693,736158928,13619328,1
1738013693,736160624,13619330,1
1738013693,736162320,13619332,1
1738013693,736164016,13619334,1
1738013693,736165712,13619336,1
1738013693,736167408,13619338,1
1738013693,736169104,13619340,1
1738013693,766170672,13619342,1
1738013693,766172368,13619344,1
1738013693,766174064,13635554,1
1738013693,766175760,13635556,1
1738013693,766177456,13635558,1
1738013693,766179152,13635560,1
1738013693,766180848,13635562,1
1738013693,766182544,13635564,1
1738013693,766184240,13635566,1
1738013693,766185936,13635568,1
1738013693,766187632,13635570,1
1738013693,766189328,13635572,1
1738013693,766191024,13635574,1
1738013693,766192720,13635576,1
1738013693,766194416,13635578,1
1738013693,796195984,13635580,1
1738013693,796197680,13635582,1
1738013693,796199376,13651792,1
1738013693,796201072,13651794,1
1738013693,796202768,13651796,1
1738013693,796204464,13651798,1
1738013693,796206160,13651800,1
1738013693,796207856,13651802,1
1738013693,796209552,13651804,1
1738013693,796211248,13651806,1
1738013693,796212944,13651808,1
1738013693,796214640,13651810,1
1738013693,796216336,13651812,1
1738013693,796218032,13651814,1
1738013693,796219728,13651816,1
1738013693,826221296,13651818,1
1738013693,826222992,13651820,1
1738013693,826224688,13668030,1
1738013693,826226384,13668032,1
1738013693,826228080,13668034,1
1738013693,826229776,13668036,1
1738013693,826231472,13668038,1
1738013693,826233168,13668040,1
1738013693,826234864,13668042,1
1738013693,826236560,13668044,1
1738013693,826238256,13668046,1
1738013693,826239952,13668048,1
1738013693,826241648,13668050,1
1738013693,826243344,13668052,1
1738013693,826245040,13668054,1
1738013693,856246608,13668056,1
1738013693,856248304,13668058,1
1738013693,856249152,13684266,1
1738013693,856250848,13684268,1
1738013693,856252544,13684270,1
1738013693,856253392,13684272,1
1738013693,856255088,13684274,1
1738013693,856256784,13684276,1
1738013693,856258480,13684278,1
1738013693,856260176,13684280,1
1738013693,856261872,13684282,1
1738013693,856263568,13684284,1
1738013693,856265264,13684286,1
1738013693,856266960,13684288,1
1738013693,856268656,13684290,1
1738013693,856270352,13684292,1
1738013693,886271920,13684294,1
1738013693,886273616,13684296,1
1738013693,886275312,13700506,1
1738013693,886277008,13700508,1
1738013693,886278704,13700510,1
1738013693,886280400,13700512,1
1738013693,886282096,13700514,1
1738013693,886283792,13700516,1
1738013693,886284640,13700518,1
1738013693,886286336,13700520,1
1738013693,886288032,13700522,1
