-----------New Capture Session with VID(1) PCP(2) Port (3)-------------
TS UTC (s),TS (ns),Sequence Number,Full FIFO Flag
1738013694,72450608,13781930,1
1738013694,72454224,13781932,1
1738013694,72457904,13798142,1
1738013694,72462512,13798144,1
1738013694,72466192,13798146,1
1738013694,72469872,13798148,1
1738013694,72473552,13798150,1
1738013694,72477232,13798152,1
1738013694,72480912,13798154,1
1738013694,72484592,13798156,1
1738013694,72488272,13798158,1
1738013694,72491952,13798160,1
1738013694,72495632,13798162,1
1738013694,72499312,13798164,1
1738013694,72502992,13798166,1
1738013694,102406320,13798168,1
1738013694,102409936,13798170,1
1738013694,102413616,13814380,1
1738013694,102418320,13814382,1
1738013694,102422000,13814384,1
1738013694,102425680,13814386,1
1738013694,102429360,13814388,1
1738013694,102433040,13814390,1
1738013694,102436720,13814392,1
1738013694,102440400,13814394,1
1738013694,102444080,13814396,1
1738013694,102447760,13814398,1
1738013694,102451440,13814400,1
1738013694,102455120,13814402,1
1738013694,107437488,13814404,1
1738013694,132474576,13814406,1
1738013694,132478192,13814408,1
1738013694,132481872,13830618,1
1738013694,132485552,13830620,1
1738013694,132489232,13830622,1
1738013694,132492912,13830624,1
1738013694,132496592,13830626,1
1738013694,132500272,13830628,1
1738013694,132503952,13830630,1
1738013694,132507632,13830632,1
1738013694,132511312,13830634,1
1738013694,132514992,13830636,1
1738013694,132518672,13830638,1
1738013694,132522352,13830640,1
1738013694,132526032,13830642,1
1738013694,162293072,13830644,1
1738013694,162296688,13830646,1
1738013694,162300368,13846856,1
1738013694,162304048,13846858,1
1738013694,162307728,13846860,1
1738013694,162311408,13846862,1
1738013694,162315088,13846864,1
1738013694,162318768,13846866,1
1738013694,162322448,13846868,1
1738013694,162326128,13846870,1
1738013694,162329808,13846872,1
1738013694,167563472,13846874,1
1738013694,167567152,13846876,1
1738013694,167570832,13846878,1
1738013694,167574512,13846880,1
1738013694,191880080,13846882,1
1738013694,191883696,13846884,1
1738013694,191889232,13863096,1
1738013694,191892912,13863098,1
1738013694,191896592,13863100,1
1738013694,191900272,13863102,1
1738013694,191903952,13863104,1
1738013694,191907632,13863106,1
1738013694,191911312,13863108,1
1738013694,191914992,13863110,1
1738013694,191918672,13863112,1
1738013694,191922352,13863114,1
1738013694,195505360,13863116,1
1738013694,195509040,13863118,1
1738013694,195512720,13863120,1
1738013694,221669584,13863122,1
1738013694,221673264,13863124,1
1738013694,221676944,13879334,1
1738013694,221680624,13879336,1
1738013694,221684304,13879338,1
1738013694,221687984,13879340,1
1738013694,221691664,13879342,1
1738013694,225713104,13879344,1
1738013694,225716784,13879346,1
1738013694,225720464,13879348,1
1738013694,225724144,13879350,1
1738013694,225727824,13879352,1
1738013694,225731504,13879354,1
1738013694,225735184,13879356,1
1738013694,225738864,13879358,1
1738013694,251960432,13879360,1
1738013694,251964112,13879362,1
1738013694,251967792,13895572,1
1738013694,251971472,13895574,1
1738013694,251975152,13895576,1
1738013694,251978832,13895578,1
1738013694,251982512,13895580,1
1738013694,251986192,13895582,1
1738013694,251989872,13895584,1
1738013694,251993552,13895586,1
1738013694,251997232,13895588,1
1738013694,252000912,13895590,1
1738013694,252004592,13895592,1
1738013694,257459024,13895594,1
1738013694,257462704,13895596,1
1738013694,285532176,13895598,1
1738013694,285535856,13895600,1
